Name,NetWorth,Country,Continent,Source,Continent_Rank,Rank,Age Range,Industry,,Age
Barbara Benetton,1.5,Italy,,"fashion retail, investments",,2035,50,Fashion & Retail,,51
Barry Diller,4.2,United States,,online media,,680,70,Media & Entertainment,,79
Barry Lam,5.3,Taiwan,,electronics,,529,70,Technology,,71
Barry Silbert,1.6,United States,,cryptocurrency,,1931,40,Finance & Investments,,44
Barry Sternlicht,3.7,United States,,private equity,,807,60,Finance & Investments,,60
Barry Zekelman,2.3,Canada,,steel,,1362,50,Manufacturing,,54
Basudeo Singh,1.5,India,,pharmaceuticals,,2035,80,Healthcare,,80
Beate Heister & Karl Albrecht Jr.,39.2,Germany,Europe,supermarkets,5,34,60,Fashion & Retail,,69
Beatriz Davila de Santo Domingo,3.9,Colombia,,beer,,752,80,Food & Beverage,,82
Beda Diethelm,1.9,Switzerland,,hearing aids,,1664,80,Healthcare,,80
Behdad Eghbali,3,United States,,private equity,,1008,40,Finance & Investments,,44
Ben Ashkenazy,2.9,United States,,real estate,,1064,50,Real Estate,,51
Ben Chestnut,3,United States,,email marketing,,1008,40,Technology,,46
Ben Silbermann,3.9,United States,,Pinterest,,752,30,Technology,,38
Benedicte Find,1.2,Denmark,,medical devices,,2378,N/A,Healthcare,,N/A
Benjamin Otto,2.9,Germany,,retail,,1064,N/A,Fashion & Retail,,N/A
Benjamin Zhengmin Pan & family,3.4,China,,electronics,,891,50,Technology,,51
Bennett Dorrance,2.9,United States,,Campbell Soup,,1064,70,Food & Beverage,,75
Benoit Dageville,1.9,United States,,software,,1664,50,Technology,,54
Benu Gopal Bangur,8.7,India,,cement,,274,80,Manufacturing,,89
Bergit Douglas,2.8,Germany,,consumer goods,,1111,70,Food & Beverage,,74
Bernard Arnault & family,150,France,Europe,LVMH,1,3,70,Fashion & Retail,,72
Bernard Broermann,5,Germany,,hospitals,,561,70,Healthcare,,77
Bernard Ecclestone & family,3.4,United Kingdom,,Formula One,,891,90,Sports,,90
Bernard Fraisse,2.1,France,,pharmaceuticals,,1517,60,Healthcare,,64
Bernard Lewis & family,1.3,United Kingdom,,fashion retailer,,2263,90,Fashion & Retail,,95
Bernard Marcus,7.2,United States,,Home Depot,,352,90,Fashion & Retail,,91
"Bernard Saul, II.",3.3,United States,,"banking, real estate",,925,80,Finance & Investments,,88
Bernd Freier,1.7,Germany,,fashion retail,,1833,60,Fashion & Retail,,64
Bernhard Braun-Luedicke,1.6,Germany,,medical technology,,1931,40,Healthcare,,44
Bert Beveridge,4.6,United States,,vodka,,622,50,Food & Beverage,,59
Bertil Hult,4.2,Sweden,,education,,680,80,Service,,80
Bhadresh Shah,1.6,India,,engineering,,1931,60,Manufacturing,,69
Bharat Desai,1.5,United States,,IT consulting,,2035,60,Technology,,68
Bianca Rinehart,1.7,Australia,,mining,,1833,40,Metals & Mining,,44
Bidzina Ivanishvili,4.8,Georgia,,investments,,589,60,Finance & Investments,,65
Bill Alfond,2.3,United States,,shoes,,1362,70,Fashion & Retail,,72
Bill and Jean Adderley & family,2.3,United Kingdom,,home furnishings,,1362,70,Fashion & Retail,,73
Bill Austin,2.2,United States,,hearing aids,,1444,70,Manufacturing,,79
Bill Gates,124,United States,North America,Microsoft,3,4,60,Technology,,65
Bill Gross,1.5,United States,,investments,,2035,70,Finance & Investments,,76
Bill Haslam,1.9,United States,,gas stations,,1664,60,Fashion & Retail,,62
Bill Liu,1.7,China,,electronics,,1833,30,Technology,,38
Bill Malhotra,1.2,Canada,,real estate,,2378,70,Real Estate,,71
Billy Joe (Red) McCombs,1.5,United States,,"real estate, oil, cars, sports",,2035,90,Diversified,,93
Binny Bansal,1.1,India,,flipkart,,2524,30,Technology,,38
Binod Chaudhary,1.4,Nepal,,diversified,,2141,60,Diversified,,65
Blair Parry-Okeden,9.4,United States,,"media, automotive",,247,70,Media & Entertainment,,70
Bob Ell,2.3,Australia,,real estate,,1362,70,Real Estate,,76
Bob Gaglardi,2.9,Canada,,hotels,,1064,80,Real Estate,,80
Bob Muglia,1.3,United States,,software,,2263,60,Technology,,61
Bob Parsons,2.2,United States,,web hosting,,1444,70,Technology,,70
Bobby Murphy,11.9,United States,,Snapchat,,185,30,Technology,,32
Bom Kim,1,United States,,online retailing,,2674,40,Technology,,42
Boris Jordan,2.3,United States,,cannabis,,1362,50,Manufacturing,,54
Boris Rotenberg,1.2,Russia,,"construction, pipes, chemicals",,2378,60,Construction & Engineering,,64
Boris Zingarevich,1.1,Russia,,"pulp and paper, diversified",,2524,60,Diversified,,61
Brad Kelley,2.6,United States,,tobacco,,1205,60,Real Estate,,64
Bradley Jacobs,2.9,United States,,logistics,,1064,60,Logistics,,64
Brandt Louie,1.3,Canada,,drugstores,,2263,70,Food & Beverage,,77
Brett Blundy,2,Australia,,"retail, agribusiness",,1580,60,Fashion & Retail,,61
Brian Acton,2.6,United States,,WhatsApp,,1205,40,Technology,,49
Brian Armstrong,6.5,United States,,cryptocurrency,,404,30,Finance & Investments,,38
Brian Chesky,13.7,United States,,Airbnb,,154,30,Technology,,39
Brian Higgins,1.8,United States,,hedge funds,,1750,50,Finance & Investments,,56
Brian Roberts,1.9,United States,,Comcast,,1664,60,Media & Entertainment,,61
Bruce Cheng,2.2,Taiwan,,electronics,,1444,80,Technology,,85
Bruce Flatt,2.6,Canada,,money management,,1205,50,Finance & Investments,,55
Bruce Karsh,2.1,United States,,private equity,,1517,60,Finance & Investments,,65
Bruce Kovner,6.6,United States,,hedge funds,,400,70,Finance & Investments,,76
Bruce Mathieson,1.1,Australia,,hotels,,2524,70,Food & Beverage,,77
Bruce Nordstrom,1.1,United States,,Nordstrom department stores,,2524,80,Fashion & Retail,,87
Brunello Cucinelli & family,1.7,Italy,,fashion,,1833,60,Fashion & Retail,,67
Bubba Cathy,8.3,United States,,Chick-fil-A,,297,60,Food & Beverage,,66
Bulat Utemuratov,3.4,Kazakhstan,,"mining, banking, hotels",,891,60,Metals & Mining,,63
