Name,NetWorth,Country,Continent,Source,Continent_Rank,Rank,Age Range,Industry,,Age
Lei Jufang,1.8,China,,pharmaceuticals,,1750,60,Healthcare,,68
Lei Jun,23,China,,smartphones,,75,50,Technology,,51
Len Blavatnik,32,United States,,"music, chemicals",,46,60,Diversified,,63
Leng Youbin,10.6,China,,infant formula,,210,50,Food & Beverage,,52
Leo Koguan,2.2,United States,,IT provider,,1444,60,Technology,,66
Leon Black,8.6,United States,,private equity,,288,60,Finance & Investments,,69
Leon G. Cooperman,2.5,United States,,hedge funds,,1249,70,Finance & Investments,,77
Leonard Lauder,25.5,United States,,Estee Lauder,,64,80,Fashion & Retail,,88
Leonard Schleifer,1.8,United States,,pharmaceuticals,,1750,60,Healthcare,,68
Leonard Stern,4.2,United States,,real estate,,680,80,Real Estate,,83
Leonardo Del Vecchio & family,25.8,Italy,,eyeglasses,,62,80,Fashion & Retail,,85
Leonid Boguslavsky,3.6,Russia,,venture capital,,831,60,Finance & Investments,,69
Leonid Fedun & family,11.1,Russia,,oil,,197,60,Energy,,65
Leonid Mikhelson,24.9,Russia,,"gas, chemicals",,66,60,Energy,,65
Leonid Simanovsky,1.6,Russia,,investments,,1931,70,Finance & Investments,,71
Les Wexner & family,6.1,United States,,retail,,440,80,Fashion & Retail,,83
Lesley Bamberger,1.6,Netherlands,,real estate,,1931,50,Real Estate,,55
Leslie Alexander,1.8,United States,,sports team,,1750,70,Sports,,77
Lev Kvetnoi,1,Russia,,cement,,2674,50,Finance & Investments,,55
Li Chunan,5.8,China,,renewable energy,,476,50,Manufacturing,,52
Li Denghai,1.4,China,,seed production,,2141,70,Food & Beverage,,71
Li Fengluan,1.2,China,,"steel, diversified",,2378,50,Diversified,,59
Li Gaiteng,3.1,China,,hair dryers,,986,40,Manufacturing,,48
Li Ge,10.1,United States,,pharmaceutical ingredients,,224,50,Healthcare,,54
Li Guangyu,1.9,China,,education,,1664,50,Service,,57
Li Guoqiang,3.5,China,,auto dealerships,,859,50,Automotive,,57
Li Guoqing,2.2,China,,Petro Fibre,,1444,50,Manufacturing,,51
Li Haiyan,6.7,China,,restaurants,,391,N/A,Food & Beverage,,N/A
Li Hongjing,1.9,China,,auto parts,,1664,50,Automotive,,53
Li Hongxin & family,3.6,China,,paper & related products,,831,60,Manufacturing,,68
Li Hua,7.1,China,,financial services,,358,40,Finance & Investments,,43
Li Jianquan & family,6.8,Hong Kong,,consumer products,,384,60,Healthcare,,64
Li Jiaquan,1.9,China,,chemicals,,1664,50,Manufacturing,,57
Li Ka-shing,33.7,Hong Kong,,diversified,,43,90,Diversified,,92
Li Li,4.2,China,,healthcare,,680,50,Healthcare,,55
Li Li,1.6,China,,pharmaceuticals,,1931,50,Healthcare,,57
Li Liangbin,3.7,China,,lithium,,807,50,Manufacturing,,53
Li Liufa & family,2.8,China,,"steel, diversified",,1111,60,Diversified,,63
Li Min,1.9,China,,semiconductor,,1664,50,Technology,,55
Li Ping,5.8,Hong Kong,,batteries,,476,50,Automotive,,53
Li Qiong,1.1,China,,online games,,2524,40,Technology,,43
Li Rucheng,1.8,China,,apparel,,1750,60,Fashion & Retail,,69
Li Shufu,19.7,China,,automobiles,,89,50,Automotive,,57
Li Shuirong,2.2,China,,petrochemicals,,1444,60,Manufacturing,,64
Li Sze Lim,2.8,Hong Kong,,real estate,,1111,60,Real Estate,,64
Li Tan,1.3,China,,pharmaceuticals,,2263,50,Healthcare,,56
Li Wa,6.1,Hong Kong,,real estate,,440,50,Real Estate,,55
Li Wanqiang,2.1,China,,smartphones,,1517,40,Technology,,43
Li Weiguo,4.6,China,,construction materials,,622,50,Manufacturing,,56
Li Weiwei,2.1,China,,online games,,1517,40,Technology,,44
Li Wenmei & family,1.1,China,,medical equipment,,2524,50,Healthcare,,58
Li Xiang,4,China,,electric vehicles,,727,30,Automotive,,39
Li Xiaohua & family,2.8,China,,packaging,,1111,50,Manufacturing,,59
Li Xiting,21.5,Singapore,,medical devices,,82,70,Healthcare,,70
Li Xuhui,2.3,China,,soy sauce,,1362,50,Food & Beverage,,52
Li Yinan,1,China,,Investments,,2674,50,Finance & Investments,,51
Li Yong,2,China,,education,,1580,40,Media & Entertainment,,47
Li Yongqing,2.2,China,,Petro Firbe,,1444,50,Manufacturing,,56
Li Yongxin & family,3.7,China,,education,,807,40,Service,,45
Li Zhen & family,1.6,China,,lithium batteries,,1931,50,Manufacturing,,57
Li Zhenguo & family,10.5,China,,solar wafers and modules,,213,50,Manufacturing,,53
Li Zhongchu,3.1,China,,software,,986,50,Technology,,57
Liang Feng,2.5,China,,manufacturing,,1249,50,Manufacturing,,52
Liang Guangwei,1.3,China,,conglomerate,,2263,50,Manufacturing,,57
Liang Jiankun & family,1.3,China,,cobalt mining,,2263,50,Metals & Mining,,59
Liang Qin & family,1.4,China,,semiconductor devices,,2141,40,Technology,,49
Liang Wengen,14.1,China,,construction equipment,,148,60,Manufacturing,,64
Liang Xinjun,2.2,China,,conglomerate,,1444,50,Diversified,,53
Liang Yanfeng & family,1.6,China,,real estate,,1931,50,Real Estate,,56
Liang Yaoming,1.4,China,,diagnostics,,2141,50,Healthcare,,57
Liang Yunchao,2.9,China,,nutritional supplements,,1064,50,Food & Beverage,,52
Liang Zhaoxian,2.3,China,,appliances,,1362,50,Manufacturing,,56
Lidiya Mikhailova & family,1.3,Russia,,agribusiness,,2263,60,Food & Beverage,,63
Lily Safra,1.3,Monaco,,banking,,2263,80,Finance & Investments,,83
Lim Hariyanto Wijaya Sarwono,1.1,Indonesia,,"palm oil, nickel mining",,2524,90,Energy,,92
Lim Kok Thay,2.7,Malaysia,,casinos,,1174,60,Gambling & Casinos,,69
Lim Wee Chai,3.5,Malaysia,,rubber gloves,,859,60,Manufacturing,,63
Lin Bin,8.7,United States,,smartphones,,274,50,Technology,,53
Lin Chang Su-O,2.2,Taiwan,,real estate,,1444,80,Real Estate,,80
Lin Chen-hai,2.1,Taiwan,,real estate,,1517,70,Real Estate,,74
Lin Dingqiang & family,1.9,Hong Kong,,real estate,,1664,50,Real Estate,,54
Lin Fanlian,2.2,China,,"energy, real estate",,1444,50,Energy,,59
Lin Jianhua & family,5.9,China,,solar panel components,,472,50,Manufacturing,,58
Lin Jie & family,1.2,China,,pharmaceuticals,,2378,50,Healthcare,,52
Lin Li,4.9,China,,investments,,574,50,Finance & Investments,,57
Lin Ming-hsiung,2.5,Taiwan,,supermarkets,,1249,70,Fashion & Retail,,71
Lin Shu-hong,4.8,Taiwan,,petrochemicals,,589,90,Manufacturing,,92
Lin Xiucheng & family,5,China,,electronics,,561,60,Technology,,65
Lin Yinsun,2.1,China,,agribusiness,,1517,50,Food & Beverage,,57
Lin Zhijun,1.5,China,,medical devices,,2035,40,Healthcare,,45
Lin Zhixiong & family,1.5,China,,medical devices,,2035,40,Healthcare,,47
Linda Pritzker,2,United States,,"hotels, investments",,1580,60,Service,,67
Lindsay Fox,2.3,Australia,,"logistics, real estate",,1362,80,Logistics,,83
Liora Ofer,1.2,Israel,,investments,,2378,60,Finance & Investments,,67
Lirio Parisotto,1.5,Brazil,,investments,,2035,60,Finance & Investments,,67
Lisa Draexlmaier,1.6,Germany,,auto parts,,1931,30,Automotive,,30
Liu Baolin,1.2,China,,pharmacies,,2378,60,Fashion & Retail,,67
Liu Fangyi,4.2,China,,medical equipment,,680,50,Healthcare,,51
Liu Gexin & family,1.2,China,,pharmaceuticals,,2378,60,Healthcare,,69
Liu Hanyuan,10.3,China,,agribusiness,,219,50,Food & Beverage,,57
Liu Hua,1.4,China,,infant formula,,2141,40,Food & Beverage,,48
Liu Jilu & family,1.3,China,,Logistics,,2263,70,Logistics,,74
Liu Jincheng & family,8.7,China,,lithium batteries,,274,50,Technology,,56
Liu Ming Chung,2.3,Brazil,,paper,,1362,50,Manufacturing,,58
Liu Ming Hui,2.8,China,,natural gas distribution,,1111,50,Energy,,58
Liu Qingfeng,1,China,,software,,2674,40,Technology,,48
Liu Shenghui,1.1,China,,infant formula,,2524,50,Food & Beverage,,51
Liu Xiaodong,3.5,China,,flavorings,,859,50,Manufacturing,,53
Liu Xiucai & family,1.5,United States,,chemicals,,2035,60,Manufacturing,,64
Liu Xuejing & family,1.4,China,,"copper, poultry",,2141,70,Diversified,,70
Liu Yachao,2,China,,education,,1580,40,Service,,40
Liu Yingqi,1.6,China,,technology,,1931,40,Technology,,44
Liu Yonghao & family,12.1,China,,agribusiness,,182,60,Service,,69
Liu Yongxing,6.5,China,,diversified,,404,70,Service,,72
Liu Zhongtian & family,2.1,China,,aluminum products,,1517,50,Manufacturing,,57
Lloyd Blankfein,1.1,United States,,banking,,2524,60,Finance & Investments,,66
Lloyd Frink,1.4,United States,,Zillow,,2141,50,Real Estate,,56
Lorenzo Fertitta,2.2,United States,,"casinos, mixed martial arts",,1444,50,Sports,,52
Lorinc Meszaros,1.5,Hungary,,diversified,,2035,50,Diversified,,55
Lottie Tham & family,3.3,Sweden,,H&M,,925,70,Fashion & Retail,,71
Lou Boliang & family,1.1,United States,,pharmaceuticals,,2524,50,Healthcare,,57
Lou Guoqiang,1.2,China,,copper,,2378,60,Manufacturing,,64
Louis Bacon,1.4,United States,,hedge funds,,2141,60,Finance & Investments,,64
Louis Le Duff,3,France,,bakeries,,1008,70,Food & Beverage,,74
Louise Lindh,1.9,Sweden,,investments,,1664,40,Diversified,,41
Low Tuck Kwong,1.1,Indonesia,,coal,,2524,70,Energy,,72
Lu Di,1.7,China,,drones,,1833,N/A,Technology,,N/A
Lu Hongyan,1.3,China,,online games,,2263,40,Media & Entertainment,,43
Lu Rongfu,1.4,China,,telecommunication,,2141,50,Telecom,,50
Lu Shenglin,1.2,China,,machinery,,2378,40,Manufacturing,,40
Lu Weiding,1.1,China,,diversified,,2524,50,Diversified,,50
Lu Xiangyang,9.1,China,,"automobiles, batteries",,256,50,Automotive,,58
Lu Zhilin,1.2,China,,machinery,,2378,30,Manufacturing,,38
Lu Zhiqiang,2.7,China,,real estate,,1174,60,Real Estate,,68
Lu Zhongfang,12.5,China,,education,,173,70,Automotive,,78
Lu Zongjun,1.5,China,,logistics,,2035,50,Logistics,,57
Luc Tack,1.5,Belgium,,"textile, chemicals",,2035,50,Manufacturing,,59
Luca Garavoglia,4.2,Italy,,spirits,,680,50,Food & Beverage,,52
Luciano Benetton,3.2,Italy,,"fashion retail, investments",,956,80,Fashion & Retail,,85
Luciano Hang,2.7,Brazil,,department stores,,1174,50,Fashion & Retail,,58
Lucio Tan,3.3,Philippines,,diversified,,925,80,Diversified,,86
Lucy Peng,2.9,China,,e-commerce,,1064,40,Technology,,48
Lucy Stitzer,1.7,United States,,Cargill,,1833,60,Food & Beverage,,61
Ludwig Merckle,7,Germany,,pharmaceuticals,,369,50,Finance & Investments,,56
Ludwig Theodor Braun,1.3,Germany,,medical technology,,2263,30,Healthcare,,31
Lui Che Woo & family,19.4,Hong Kong,,casinos/hotels,,93,90,Gambling & Casinos,,92
Luigi Cremonini & family,2.4,Italy,,meat processing,,1299,80,Food & Beverage,,81
Luis Carlos Sarmiento,11,Colombia,South America,banking,6,200,80,Finance & Investments,,88
Luis Enrique Yarur Rey,1.3,Chile,,banking,,2263,70,Finance & Investments,,70
Luis Frias,4.6,Brazil,,mobile payments,,622,50,Technology,,58
Luiza Helena Trajano,5.3,Brazil,,retail chain,,529,60,Fashion & Retail,,69
Lukas Walton,15.6,United States,,Walmart,,127,30,Fashion & Retail,,34
Lun Ruixiang & family,1.2,China,,real estate,,2378,50,Real Estate,,53
Luo Liguo & family,4.2,China,,chemicals,,680,60,Manufacturing,,65
Luo Yangyong & family,2.4,China,,mining,,1299,40,Metals & Mining,,45
Lutz Mario Helmig,2.1,Germany,,hospitals,,1517,70,Healthcare,,74
Lv Dalong,1.8,China,,telecom services,,1750,50,Telecom,,59
Lv Jianming,2.8,Hong Kong,,medical equipment,,1111,50,Healthcare,,56
Lv Yongxiang,1.1,China,,magnetic switches,,2524,70,Manufacturing,,71
Lynn Schusterman,3.4,United States,,"oil & gas, investments",,891,80,Energy,,82
Lynsi Snyder,3.6,United States,,In-N-Out Burger,,831,30,Food & Beverage,,38
M.A. Yusuff Ali,4.8,India,,retail,,589,60,Fashion & Retail,,65
M.Satyanarayana Reddy,1.1,India,,pharmaceuticals,,2524,60,Healthcare,,63
Ma Hong,1,China,,machinery,,2674,50,Manufacturing,,50
Ma Huateng,65.8,China,Asia,internet media,3,15,40,Technology,,49
Ma Jianrong & family,12.5,China,,"textiles, apparel",,173,50,Fashion & Retail,,57
Ma Renhe,1.3,China,,"textiles, apparel",,2263,60,Fashion & Retail,,61
Ma Xiuhui,1.7,China,,LED lighting,,1833,50,Manufacturing,,50
MacKenzie Scott,53,United States,,Amazon,,22,50,Technology,,50
Madeleine Olsson Ericksson,1.1,Sweden,,diversified,,2524,70,Diversified,,76
Madhukar Parekh,2.4,India,,adhesives,,1299,70,Manufacturing,,74
Magdalena Martullo-Blocher,7.1,Switzerland,,chemicals,,358,50,Manufacturing,,52
Maggie Hardy Knox,2.9,United States,,building materials,,1064,50,Service,,55
Mahendra Choksi & family,5.1,India,,paints,,550,70,Manufacturing,,79
Mahendra Prasad,2,India,,pharmaceuticals,,1580,80,Healthcare,,81
Maja Oeri,3.2,Switzerland,,Pharmaceuticals,,956,60,Healthcare,,66
Majid Al Futtaim & family,3.6,United Arab Emirates,,"real estate, retail",,831,N/A,Real Estate,,N/A
Manas Chiaravanond,1.5,Thailand,,diversified,,2035,N/A,Diversified,,N/A
Manfredi Lefebvre d'Ovidio,1.1,Italy,,cruises,,2524,60,Service,,67
Mangal Prabhat Lodha,1.3,India,,real estate,,2263,60,Real Estate,,65
Manny Stul,1,Australia,,toys,,2674,70,Manufacturing,,71
Manuel Lao Hernandez,1.6,Spain,,casinos,,1931,70,Gambling & Casinos,,76
Manuel Villar,7.2,Philippines,,real estate,,352,70,Real Estate,,71
Mao Huihua,1,Canada,,pharmaceuticals,,2674,50,Healthcare,,59
Mao Lixiang & family,1.6,China,,cooking appliances,,1931,80,Technology,,80
Mao Zhongwu,2.2,China,,manufacturing,,1444,50,Manufacturing,,58
Marc Andreessen,1.7,United States,,venture capital investing,,1833,40,Finance & Investments,,49
Marc Benioff,8.4,United States,,business software,,294,50,Technology,,56
Marc Ladreit de Lacharriere,4.9,France,,finance,,574,80,Finance & Investments,,80
Marc Lasry,1.8,United States,,hedge funds,,1750,60,Finance & Investments,,60
Marc Rowan,4,United States,,private equity,,727,50,Finance & Investments,,58
Marc Samwer,1.2,Germany,,tech investments,,2378,50,Technology,,50
Marcel Erni,2.9,Switzerland,,private equity,,1064,50,Finance & Investments,,56
Marcel Herrmann Telles,11.5,Brazil,South America,beer,4,191,70,Food & Beverage,,71
Marco Squinzi,1,Italy,,chemical products,,2674,40,Construction & Engineering,,49
Marcos Galperin,6.1,Argentina,South America,e-commerce,10,440,N/A,Technology,,N/A
Marek Dospiva,1.2,Czechia,,investments,,2378,50,Finance & Investments,,51
Maren Otto,3.8,Germany,,"retail, real estate",,775,N/A,Diversified,,N/A
Margaretta Taylor,6.2,United States,,"media, automotive",,432,70,Media & Entertainment,,78
Margarita Louis-Dreyfus & family,3.4,Switzerland,,commodities,,891,50,Food & Beverage,,58
Margot Birmingham Perot,4.1,United States,,"computer services, real estate",,705,80,Technology,,87
Maria Asuncion Aramburuzabala & family,5.8,Mexico,,"beer, investments",,476,50,Food & Beverage,,57
Maria Del Pino,2.3,Spain,,construction,,1362,60,Construction & Engineering,,65
Maria Fernanda Amorim & family,4.7,Portugal,,"energy, investments",,608,80,Diversified,,86
Maria Franca Fissolo,2.2,Italy,,"Nutella, chocolates",,1444,80,Food & Beverage,,86
Maria Helena Moraes Scripilliti,1.9,Brazil,,diversified,,1664,90,Diversified,,90
Maria Pinheiro,1,Brazil,,supermarkets,,2674,N/A,Fashion & Retail,,N/A
Maria-Elisabeth Schaeffler-Thumann,3.7,Germany,,auto parts,,807,70,Automotive,,79
Marian Ilitch,3.7,United States,,Little Caesars,,807,80,Food & Beverage,,88
Marianne Liebmann,3.6,United States,,Cargill,,831,60,Food & Beverage,,67
Marie Besnier Beauvalot,6.7,France,,cheese,,391,40,Food & Beverage,,40
Marie-Hélène Habert,7.3,France,,diversified,,344,50,Diversified,,56
Marijke Mars,7.8,United States,,"candy, pet food",,316,50,Food & Beverage,,56
Marina Caprotti,1.7,Italy,,supermarkets,,1833,40,Food & Beverage,,43
Marina Prada,2,Italy,,luxury goods,,1580,70,Fashion & Retail,,75
Mario Gabelli,1.8,United States,,money management,,1750,70,Finance & Investments,,79
Mario Germano Giuliani,2.3,Switzerland,,pharmaceuticals,,1362,40,Healthcare,,49
Mario Moretti Polegato & family,1.6,Italy,,shoes,,1931,60,Fashion & Retail,,68
Maritsa Lazari & family,2.9,United Kingdom,,real estate,,1064,70,Real Estate,,76
Marius Nacht,1.5,Israel,,software,,2035,50,Technology,,55
Mark & Robyn Jones,2.5,United States,,insurance,,1249,N/A,Finance & Investments,,N/A
Mark Coombs,2.4,United Kingdom,,finance,,1299,60,Finance & Investments,,60
Mark Cuban,4.4,United States,,"online media, Dallas Mavericks",,655,60,Media & Entertainment,,62
Mark Dixon,1.9,United Kingdom,,office real estate,,1664,60,Real Estate,,61
Mark Haoyong Yang,1,China,,e-commerce,,2674,40,Technology,,46
Mark Leonard & family,2.1,Canada,,software,,1517,60,Technology,,64
Mark Pincus,1.5,United States,,online games,,2035,50,Technology,,55
Mark Scheinberg,4.9,Canada,,online gambling,,574,40,Gambling & Casinos,,47
Mark Shoen,3.9,United States,,U-Haul,,752,70,Automotive,,70
Mark Stevens,3.7,United States,,venture capital,,807,60,Finance & Investments,,61
Mark Walter,4.7,United States,,finance,,608,60,Finance & Investments,,60
Mark Zuckerberg,97,United States,North America,Facebook,4,5,30,Technology,,36
Markus Blocher,2.5,Switzerland,,chemicals,,1249,50,Manufacturing,,50
Markus Persson,1.7,Sweden,,computer games,,1833,40,Media & Entertainment,,41
Martha Ingram & family,3.5,United States,,"book distribution, transportation",,859,80,Media & Entertainment,,85
Martha MacMillan,1.1,United States,,Cargill,,2524,60,Food & Beverage,,69
Martin & Olivier Bouygues,4.6,France,,"construction, media",,622,N/A,Construction & Engineering,,N/A
Martin Ebner,3.1,Switzerland,,investments,,986,70,Finance & Investments,,75
Martin Haefner,4.1,Switzerland,,"software, investments",,705,60,Technology,,67
Martin Knauf,1.1,Germany,,building materials,,2524,N/A,Manufacturing,,N/A
Martin Lau,4.2,Hong Kong,,e-commerce,,680,40,Technology,,48
Martin Lorentzon,6,Sweden,,Spotify,,451,50,Technology,,52
Martin Moller Nielsen,1.3,Denmark,,aircraft leasing,,2263,50,Logistics,,56
Martin Selig,1.4,United States,,real estate,,2141,80,Real Estate,,83
Martin Viessmann,1.8,Germany,,heating and cooling equipment,,1750,60,Manufacturing,,67
Martua Sitorus,2,Indonesia,,palm oil,,1580,60,Manufacturing,,61
Mary Alice Dorrance Malone,3.7,United States,,Campbell Soup,,807,70,Food & Beverage,,71
Masaaki Arai,2,Japan,,home sales,,1580,50,Real Estate,,55
Masahiro Miki,3.9,Japan,,shoes,,752,60,Fashion & Retail,,65
Masahiro Noda,4,Japan,,software,,727,80,Technology,,82
Masanori Kobayashi,1.2,Japan,,cosmetics,,2378,40,Fashion & Retail,,47
Masaru Wasami,1.3,Japan,,logistics,,2263,70,Logistics,,75
Masateru Uno & family,2.8,Japan,,drugstores,,1111,70,Fashion & Retail,,74
Masatoshi Ito,4,Japan,,retail,,727,90,Fashion & Retail,,96
Masatoshi Kumagai,1,Japan,,internet services,,2674,50,Technology,,57
Masayoshi Son,45.4,Japan,Asia,"internet, telecom",7,29,60,Telecom,,63
Massimiliana Landini Aleotti & family,9.1,Italy,,pharmaceuticals,,256,70,Healthcare,,78
Massimo Moratti,1.6,Italy,,oil refinery,,1931,70,Energy,,75
Mat Ishbia,9.7,United States,,★,,234,40,Finance & Investments,,41
Mathias Doepfner,1.2,Germany,,Media,,2378,50,Media & Entertainment,,58
Mathias Kamprad,1.2,Sweden,,IKEA,,2378,50,Finance & Investments,,51
Mats Paulsson & family,1.1,Sweden,,construction,,2524,70,Construction & Engineering,,76
Matt Moulding,2.9,United Kingdom,,e-commerce,,1064,40,Fashion & Retail,,49
Matthew Calkins,4.1,United States,,software,,705,40,Technology,,48
Matthew Prince,2.5,United States,,cybersecurity,,1249,40,Technology,,46
Matthew Roszak,1.5,United States,,cryptocurrency,,2035,40,Finance & Investments,,48
Matthias Reimann-Andersen,3.8,Germany,,consumer goods,,775,50,Fashion & Retail,,56
Matthias Reinhart,2.5,Switzerland,,finance,,1249,60,Finance & Investments,,61
Maurizio Billi,1.4,Brazil,,generic drugs,,2141,60,Healthcare,,63
Max Levchin,2.2,United States,,fintech,,1444,40,Finance & Investments,,45
Maximilian Viessmann,3.9,Germany,,heating and cooling equipment,,752,N/A,Manufacturing,,N/A
Meg Whitman,5.8,United States,,eBay,,476,60,Technology,,64
Megdet Rahimkulov & family,1.7,Russia,,investments,,1833,70,Finance & Investments,,75
Mehmet Aydinlar,1.3,Turkey,,hospitals,,2263,60,Healthcare,,64
Mehmet Nazif Gunal,1.2,Turkey,,"tourism, construction",,2378,70,Diversified,,73
Mehmet Sinan Tara,1.1,Turkey,,construction,,2524,60,Construction & Engineering,,62
Melissa Ma,4,China,,internet search,,727,50,Technology,,51
Melker Schorling & family,10.5,Sweden,,investments,,213,70,Finance & Investments,,73
Mi Enhua,2.2,China,,retail,,1444,60,Fashion & Retail,,63
Miao Hangen,4.5,China,,"textiles, petrochemicals",,638,50,Diversified,,56
Miao Shouliang,1.8,China,,real estate,,1750,60,Real Estate,,66
Miao Yongjun,2,China,,clinical diagnostics,,1580,50,Healthcare,,53
Michael Ashcroft,2.1,United Kingdom,,security,,1517,70,Finance & Investments,,75
Michael Ashley,2.4,United Kingdom,,sports retailing,,1299,50,Fashion & Retail,,56
Michael Bloomberg,59,United States,,Bloomberg LP,14,20,70,Media & Entertainment,,79
Michael Dell,45.1,United States,,Dell computers,,30,50,Technology,,56
Michael Federmann & family,2.1,Israel,,"defense, hotels",,1517,70,Technology,,77
Michael Hartono,19.7,Indonesia,,"banking, tobacco",,89,80,Manufacturing,,81
Michael Heine,1.3,Australia,,financial services,,2263,70,Finance & Investments,,71
Michael Herz,5.1,Germany,,coffee,,550,70,Fashion & Retail,,77
Michael Hintze,2.3,Australia,,investment,,1362,60,Finance & Investments,,67
Michael Jordan,1.6,United States,,"Charlotte Hornets, endorsements",,1931,50,Sports,,58
Michael Kadoorie,7.2,Hong Kong,,"hotels, energy",,352,70,Energy,,79
Michael Kim,1.9,United States,,private equity,,1664,50,Finance & Investments,,57
Michael Krasny,1.3,United States,,retail,,2263,60,Technology,,67
Michael Lee-Chin,1.6,Canada,,mutual funds,,1931,70,Finance & Investments,,70
Michael McCain,1,Canada,,packaged meats,,2674,N/A,Food & Beverage,,N/A
Michael Milken,3.7,United States,,investments,,807,70,Finance & Investments,,74
Michael Minhong Yu,4.4,China,,education,,655,50,Service,,59
Michael Moritz,5.7,United States,,venture capital,,486,60,Technology,,66
Michael Otto,8.9,Germany,,"retail, real estate",,264,70,Fashion & Retail,,77
Michael Pieper,4.7,Switzerland,,kitchen appliances,,608,70,Manufacturing,,75
Michael Platt,13,United Kingdom,,hedge funds,,164,50,Finance & Investments,,53
Michael Polsky,1.5,United States,,Electric power,,2035,70,Energy,,72
Michael Price,1.2,United States,,investments,,2378,60,Finance & Investments,,68
Michael Rubin,3.5,United States,,online retail,,859,40,Fashion & Retail,,48
Michael S. Smith,1.1,United States,,liquefied natural gas,,2524,60,Energy,,65
Michael Saylor,2.3,United States,,cryptocurrency,,1362,50,Technology,,56
Michael Spencer,1.4,United Kingdom,,stock exchange,,2141,60,Finance & Investments,,65
Michael Steinhardt,1.2,United States,,hedge funds,,2378,80,Finance & Investments,,80
Michael Tojner,3.6,Austria,,"batteries, investments",,831,50,Manufacturing,,55
Michael Xie,2.1,United States,,cybersecurity,,1517,50,Technology,,52
Michael Ying,2.4,Hong Kong,,retail,,1299,70,Fashion & Retail,,71
Michaela Herz,1.4,Germany,,coffee,,2141,N/A,Finance & Investments,,N/A
Michal Solowow,4,Poland,,investments,,727,50,Finance & Investments,,58
Michel Leclercq & family,5.7,France,,sporting goods,,486,80,Fashion & Retail,,81
Michiel Le Roux,1.1,South Africa,,banking,,2524,70,Finance & Investments,,71
Micky Arison,6.7,United States,,Carnival Cruises,,391,70,Service,,71
Micky Jagtiani,2.8,India,,retail,,1111,60,Fashion & Retail,,69
Miguel Fluxa Rossello,1.6,Spain,,hotels,,1931,80,Service,,82
Miguel Krigsner,2.2,Brazil,,cosmetics,,1444,70,Fashion & Retail,,71
Mika Anttonen,1.3,Finland,,oil & gas,,2263,50,Energy,,54
Mike Adenuga,6.1,Nigeria,Africa,"telecom, oil",5,440,60,Diversified,,67
Mike Cannon-Brookes,14.2,Australia,Oceania,software,3,145,40,Technology,,41
Mike Speiser,1.2,United States,,software,,2378,50,Technology,,50
Mikhail Fridman,15.5,Russia,,"oil, banking, telecom",,128,50,Energy,,56
Mikhail Gutseriev,2.5,Russia,,"oil, real estate",,1249,60,Energy,,63
Mikhail Lomtadze,3.2,Georgia,,fintech,,956,40,Finance & Investments,,45
Mikhail Prokhorov,11.4,Russia,,investments,,193,50,Finance & Investments,,55
Mikhail Shelkov,2,Russia,,titanium,,1580,50,Metals & Mining,,52
Milane Frantz,6,United States,,pipelines,,451,50,Energy,,51
Mimi Haas,1.4,United States,,Levi's jeans,,2141,70,Fashion & Retail,,74
Min Kao & family,4.5,United States,,navigation equipment,,638,70,Technology,,72
Ming Hsieh,1.1,United States,,Fulgent Genetics,,2524,60,Healthcare,,65
Miriam Adelson,38.2,United States,,casinos,,36,70,Gambling & Casinos,,75
Miriam Baumann-Blocher,2.7,Switzerland,,chemicals,,1174,40,Manufacturing,,46
Mitchell Goldhar,2.7,Canada,,real estate,,1174,50,Real Estate,,59
Mitchell Jacobson,1.1,United States,,industrial equipment,,2524,70,Service,,70
Mitchell Rales,6.2,United States,,"manufacturing, investments",,432,60,Manufacturing,,64
Miuccia Prada,4.6,Italy,,luxury goods,,622,70,Fashion & Retail,,71
Mochtar Riady & family,1.7,Indonesia,,diversified,,1833,90,Diversified,,91
Mofatraj Munot,1,India,,real estate,,2674,70,Real Estate,,76
Mohamed Al Fayed,1.8,Egypt,,"retail, investments",,1750,90,Fashion & Retail,,92
Mohamed Mansour,2.5,Egypt,,diversified,,1249,70,Diversified,,73
Mohammed Dewji,1.6,Tanzania,,diversified,,1931,40,Diversified,,45
Mohammed Ibrahim,1.1,United Kingdom,,communications,,2524,70,Telecom,,74
Mohed Altrad,3.4,France,,"scaffolding, cement mixers",,891,70,Construction & Engineering,,73
Mong-Koo Chung,6,South Korea,,Hyundai,,451,80,Automotive,,83
Montri Jiaravanont,5.4,Thailand,,diversified,,520,90,Diversified,,90
Mori Arkin,1.4,Israel,,pharmaceuticals,,2141,60,Healthcare,,68
Morris Chang,2.8,Taiwan,,semiconductors,,1111,80,Technology,,89
Morris Kahn,1,Israel,,software,,2674,90,Technology,,91
Mortimer Zuckerman,2.7,United States,,"real estate, media",,1174,80,Real Estate,,83
Mou Jinxiang,1.2,China,,chemicals,,2378,60,Manufacturing,,67
Mu Rongjun,5.5,China,,e-commerce,,502,40,Technology,,41
Mukand Lal Dua,1,India,,footwear,,2674,70,Fashion & Retail,,72
Mukesh Ambani,84.5,India,Asia,diversified,1,10,60,Diversified,,63
Muneaki Masuda,1.2,Japan,,retail,,2378,70,Fashion & Retail,,70
Murali Divi & family,6.8,India,,pharmaceuticals,,384,70,Healthcare,,70
