Country,longitude,latitude,Count,Population,BP
Reunion,,,0,"895,312",0
Saint Barthelemy,,,0,"9,877",0
Saint Helena,,,0,"6,077",0
Saint Lucia,,,0,"183,627",0
Saint Martin,,,0,"38,666",0
Saint Pierre & Miquelon,,,0,"5,794",0
Samoa,,,0,"198,414",0
San Marino,,,0,"33,931",0
Saudi Arabia,,,0,"34,813,871",0
Senegal,,,0,"16,743,927",0
Serbia,,,0,"8,737,371",0
Seychelles,,,0,"98,347",0
Sierra Leone,,,0,"7,976,983",0
Sint Maarten,,,0,"42,876",0
Slovenia,,,0,"2,078,938",0
Solomon Islands,,,0,"686,884",0
Somalia,,,0,"15,893,222",0
South Sudan,,,0,"11,193,725",0
Sri Lanka,,,0,"21,413,249",0
State of Palestine,,,0,"5,101,414",0
Sudan,,,0,"43,849,260",0
Syria,,,0,"17,500,658",0
Tajikistan,,,0,"9,537,645",0
Timor-Leste,,,0,"1,318,445",0
Togo,,,0,"8,278,724",0
Tonga,,,0,"105,695",0
Trinidad and Tobago,,,0,"1,399,488",0
Tunisia,,,0,"11,818,619",0
Turkmenistan,,,0,"6,031,200",0
U.S Virgin Islands,,,0,"104,425",0
Uganda,,,0,"45,741,007",0
Uruguay,,,0,"3,473,730",0
Uzbekistan,,,0,"33,469,203",0
Western Sahara,,,0,"597,339",0
Yemen,,,0,"29,825,964",0
Zambia,,,0,"18,383,955",0
